StudentID,OldStudentID,CorrespondenceLanguageCode,CounselorNumber,StudentPersonalEmailAddress,SchoolCode,StudentNumber,StateStudentID,LastName,FirstName,MiddleName,Gender,Grade,GradeLevelShortDescription,GradeLevelLongDescription,Birthdate,ParentGuardianName,HomePhone,StudentMobilePhone,MailingAddress,MailingAddressCity,MailingAddressState,MailingAddressZipCode,ResidenceAddress,ResidenceAddressCity,ResidenceAddressState,ResidenceAddressZipCode,AddressVerified,EthnicityCode,RaceCode1,SchoolEnterDate,SchoolLeaveDate,DistrictEnterDate,AttendanceProgramCodePrimary,LockerNumber,LowSchedulingPeriod,HighSchedulingPeriod,FamilyKey,LanguageFluencyCode,HomeLanguageCode,ParentEdLevelCode,ParentEmailAddress,StudentEmailAddress,NetworkLoginID,EarlyWarningPoints,HomeRoomTeacherNumber,NotificationPreferenceCode,NextSchoolCode,NextGrade,NextGradeLevelShortDescription,NextGradeLevelLongDescription
99400011,0,00,994716,,994,11,9940000011,Abrahamson,Arnold,,M,11,11,Eleventh Grade,2006-02-05T00:00:00,M/M A Abrahamson,7775553838,,1126 E Walton Rd.,Eagle Rock,CA,99999,1126 E Walton Rd.,Eagle Rock,CA,99999,False,N,700,2018-08-17T00:00:00,2022-07-04T00:00:00,2007-02-05T00:00:00,,,0,9,647,E,00,11,,Arnold.Abrahamson@example.com,,0.0,0,,0,12,12,Twelfth Grade
99400012,0,01,994623,,994,12,9940000012,Abrego,Alice,A,F,9,9,Ninth Grade,2008-12-01T00:00:00,M/M A Abrego,7775557682,,115 W Norgate St,Eagle Rock,CA,99999,115 W Norgate St,Eagle Rock,CA,99999,False,Y,,2013-08-22T00:00:00,,2013-08-15T00:00:00,,,0,9,1228,I,01,11,,Alice.Abrego@example.com,,31.0,0,,0,10,10,Tenth Grade
99400013,0,00,0,,994,13,9940000013,Abrego,Ivette,I,F,8,8,Eighth Grade,2009-01-14T00:00:00,M/M I Abrego,9998324463,,13642 Green Valley B,Eagle Rock,CA,99999,13642 Green Valley B,Eagle Rock,CA,99999,False,N,700,2023-08-03T00:00:00,,,,,0,9,0,E,,,,Ivette.Abrego@example.com,,0.0,0,,999,9,9,Ninth Grade
99400014,0,00,994723,,994,14,9940000014,AbuJohn,Edgar,,M,11,11,Eleventh Grade,2006-03-20T00:00:00,M/M A AbuJohn,7775554400,,1123 N Barston Ave,Eagle Rock,CA,99999,1123 N Barston Ave,Eagle Rock,CA,99999,False,N,400,2019-09-02T00:00:00,2023-02-17T00:00:00,2011-03-20T00:00:00,,,0,9,4336,E,00,11,,Edgar.AbuJohn@example.com,,0.0,0,,0,12,12,Twelfth Grade
99400015,0,01,994708,,994,15,9940000015,Aceves,Steven,,M,12,12,Twelfth Grade,2004-09-01T00:00:00,M/M A Aceves,7775550805,,1110 Avenida Loma Vista,Eagle Rock,CA,99999,1110 Avenida Loma Vista,Eagle Rock,CA,99999,False,Y,,2016-09-01T00:00:00,,2010-09-01T00:00:00,,,0,9,150,L,01,13,,Steven.Aceves@example.com,,25.0,0,,0,13,13,Reserved for Graduating Seniors
99400016,0,99,994723,,994,16,9940000016,Acharya,Josiah,,M,11,11,Eleventh Grade,2006-09-27T00:00:00,M/M A Acharya,7775556954,,1120 E Wanamaker Dr Apt B,Eagle Rock,CA,99999,1120 E Wanamaker Dr Apt B,Eagle Rock,CA,99999,False,N,299,2019-09-03T00:00:00,,2011-09-27T00:00:00,,,0,9,1495,L,99,12,,Josiah.Acharya@example.com,,30.0,0,,0,12,12,Twelfth Grade
99400017,0,00,994723,,994,17,9940000017,Ackermann,Kathrin,Ann,F,10,10,Tenth Grade,2007-01-02T00:00:00,M/M A Ackermann,7775556673,,1168 N Fine Ave,Eagle Rock,CA,99999,1168 N Fine Ave,Eagle Rock,CA,99999,False,N,700,2015-05-12T00:00:00,,2012-08-09T00:00:00,,,0,9,1082,E,00,11,,Kathrin.Ackermann@example.com,,0.0,0,,0,11,11,Eleventh Grade
99400018,0,00,994674,,994,18,9940000018,Acosta,Annessa,Grace,F,9,9,Ninth Grade,2007-04-30T00:00:00,M/M A Acosta,7775554007,,889 N Darfield Ave,Eagle Rock,CA,99999,889 N Darfield Ave,Eagle Rock,CA,99999,False,Y,700,2020-08-31T00:00:00,,2013-08-31T00:00:00,,,0,9,4097,E,00,13,,Annessa.Acosta@example.com,,8.0,0,,0,10,10,Tenth Grade
99400019,0,00,0,,994,19,9940000019,Acosta,Donovon,Nathaniel,M,8,8,Eighth Grade,2010-01-02T00:00:00,M/M A Acosta,7775555230,,1111 Essex St,Eagle Rock,CA,99999,1111 Essex St,Eagle Rock,CA,99999,False,Y,100,2023-08-03T00:00:00,,2014-09-03T00:00:00,,,0,9,0,E,00,12,,Donovon.Acosta@example.com,,0.0,0,,999,9,9,Ninth Grade
99400020,0,01,994723,,994,20,9940000020,Acuna,Allan,A,M,10,10,Tenth Grade,2007-07-29T00:00:00,M/M A Acuna,7775559653,,1138 Barton Ave,Eagle Rock,CA,99999,1138 Barton Ave,Eagle Rock,CA,99999,False,Y,,2019-08-15T00:00:00,,2012-08-16T00:00:00,,,0,9,1511,I,01,15,,Allan.Acuna@example.com,,24.0,0,,0,11,11,Eleventh Grade
99400021,0,00,994723,,994,21,9940000021,Acuna,Darlene,Christine,F,10,10,Tenth Grade,2007-03-02T00:00:00,M/M A Acuna,7775550484,,1153 N Bennington Ave,Eagle Rock,CA,99999,1153 N Bennington Ave,Eagle Rock,CA,99999,False,Y,,2015-05-12T00:00:00,,2012-08-09T00:00:00,,,0,9,97,E,00,11,,Darlene.Acuna@example.com,,9.0,0,,0,11,11,Eleventh Grade
99400022,0,00,994708,,994,22,9940000022,Acuna,Philip,,M,12,12,Twelfth Grade,2004-08-18T00:00:00,M/M A Acuna,7775552972,,22983 Charleston Blvd #I,Eagle Rock,CA,99999,22983 Charleston Blvd #I,Eagle Rock,CA,99999,False,Y,,2016-09-01T00:00:00,,2010-08-18T00:00:00,,,0,9,518,E,00,13,,Philip.Acuna@example.com,,0.0,0,,0,13,13,Reserved for Graduating Seniors
99400023,0,00,994716,,994,23,9940000023,Adame,Nambia,A,F,11,11,Eleventh Grade,2005-12-23T00:00:00,M/M A Adame,7775554241,,11559 E Charleston Blvd #118,Huntington Beach,CA,99999,11559 E Charleston Blvd #118,Huntington Beach,CA,99999,False,N,700,2014-10-01T00:00:00,,2011-08-08T00:00:00,,,0,9,708,E,00,12,,Nambia.Adame@example.com,,22.0,0,,0,12,12,Twelfth Grade
99400024,0,00,994723,,994,24,9940000024,Adragna,Stefanie,Sheena,F,10,10,Tenth Grade,2007-01-22T00:00:00,M/M A Adragna,7775553355,,1163 Talmadge #202,Eagle Rock,CA,99999,1163 Talmadge #202,Eagle Rock,CA,99999,False,N,700,2015-05-12T00:00:00,,2012-08-09T00:00:00,,,0,9,570,E,00,15,,Stefanie.Adragna@example.com,,3.0,0,,0,11,11,Eleventh Grade
99400025,0,00,994929,,994,25,9940000025,Aggeler,Gilbert,,M,12,12,Twelfth Grade,2005-01-21T00:00:00,M/M A Aggeler,7775553483,,1198 N Huntington Blvd,Eagle Rock,CA,99999,1198 N Huntington Blvd,Eagle Rock,CA,99999,False,N,700,2019-09-02T00:00:00,,2010-01-21T00:00:00,S,,0,9,4946,E,00,10,,Gilbert.Aggeler@example.com,,29.0,0,,0,13,13,Reserved for Graduating Seniors
99400026,0,00,994708,,994,26,9940000026,Aguayo,Krupa,Rose,F,12,12,Twelfth Grade,2005-01-10T00:00:00,M/M A Aguayo,7775556122,,1146 N Lemon Ave,Eagle Rock,CA,99999,1146 N Lemon Ave,Eagle Rock,CA,99999,False,N,700,2016-08-10T00:00:00,,2010-01-10T00:00:00,,,0,9,1002,E,00,12,,Krupa.Aguayo@example.com,,3.0,0,,0,13,13,Reserved for Graduating Seniors
99400027,0,00,994723,,994,27,9940000027,Aguayo,Taunie,,F,10,10,Tenth Grade,2007-06-18T00:00:00,M/M A Aguayo,7775551449,,5502 N Clearpoint Hwy,Eagle Rock,CA,99999,5502 N Clearpoint Hwy,Eagle Rock,CA,99999,False,Y,,2017-01-04T00:00:00,,2012-08-09T00:00:00,,,0,9,276,E,00,12,,Taunie.Aguayo@example.com,,34.0,0,,0,11,11,Eleventh Grade
99400028,0,00,994723,,994,28,9940000028,Aguiar,Jennifer,M,F,10,10,Tenth Grade,2006-06-23T00:00:00,M/M A Aguiar,7775554195,,1175 E Talmadge St #206,Eagle Rock,CA,99999,1175 E Talmadge St #206,Eagle Rock,CA,99999,False,Y,,2017-02-09T00:00:00,,2012-08-09T00:00:00,,,0,9,703,E,00,12,,Jennifer.Aguiar@example.com,,12.0,0,,0,11,11,Eleventh Grade
99400029,0,00,0,,994,29,9940000029,Aguila,Errol,,M,8,8,Eighth Grade,2010-02-12T00:00:00,M/M A Aguila,7775552083,,4425 N Sunflower Ave,Eagle Rock,CA,99999,4425 N Sunflower Ave,Eagle Rock,CA,99999,False,Y,100,2023-08-03T00:00:00,,2020-01-17T00:00:00,,,0,9,0,E,00,11,,Errol.Aguila@example.com,,0.0,0,,999,9,9,Ninth Grade
99400030,0,01,994623,,994,30,9940000030,Aguilar,Allan,,M,9,9,Ninth Grade,2008-07-25T00:00:00,M/M A Aguilar,7775553098,,1140 S Candish Ave,Eagle Rock,CA,99999,1140 S Candish Ave,Eagle Rock,CA,99999,False,Y,,2012-09-12T00:00:00,,2013-08-15T00:00:00,,,0,9,534,I,01,13,,Allan.Aguilar@example.com,,17.0,0,,0,10,10,Tenth Grade
99400031,0,01,0,,994,31,9940000031,Aguilar,Joshua,Alejandro,M,8,8,Eighth Grade,2010-10-02T00:00:00,M/M A Aguilar,7775551312,,22067 E Calora St,Eagle Rock,CA,99999,22067 E Calora St,Eagle Rock,CA,99999,False,Y,100,2023-08-03T00:00:00,,2019-09-04T00:00:00,,,0,9,0,R,01,10,,Joshua.Aguilar@example.com,,0.0,0,,999,9,9,Ninth Grade
99400032,0,00,994716,,994,32,9940000032,Aguilar-Lopez,Kristi,M,F,11,11,Eleventh Grade,2006-06-07T00:00:00,M/M A Aguilar-Lopez,7775559511,,22106 E Virgp St,Eagle Rock,CA,99999,22106 E Virgp St,Eagle Rock,CA,99999,False,Y,,2019-03-12T00:00:00,,2011-03-13T00:00:00,,,0,9,1493,E,00,12,,Kristi.Aguilar-Lopez@example.com,,0.0,0,,0,12,12,Twelfth Grade
99400033,0,05,994716,,994,33,9940000033,Aguirre,Raelena,A,F,11,11,Eleventh Grade,2005-12-11T00:00:00,M/M A Aguirre,7775559385,,1139 E Allen Ave,Eagle Rock,CA,99999,1139 E Allen Ave,Eagle Rock,CA,99999,False,N,400,2014-05-30T00:00:00,,2011-08-08T00:00:00,,,0,9,1471,I,05,12,,Raelena.Aguirre@example.com,,10.0,0,,0,12,12,Twelfth Grade
99400034,0,11,994708,,994,34,9940000034,Ahmad,Phillip,A,M,12,12,Twelfth Grade,2005-04-09T00:00:00,M/M A Ahmad,7775550968,,11550 Sepulveda Ave #69,Eagle Rock,CA,99999,11550 Sepulveda Ave #69,Eagle Rock,CA,99999,False,N,700,2016-09-01T00:00:00,,2010-04-09T00:00:00,,,0,9,178,R,11,14,,Phillip.Ahmad@example.com,,61.0,0,,0,13,13,Reserved for Graduating Seniors
99400035,0,11,994716,,994,35,9940000035,Ahmad,Steven,Abdel-Same,M,11,11,Eleventh Grade,2006-10-28T00:00:00,M/M A Ahmad,7775550968,,11550 E Sepulveda Ave #69,Eagle Rock,CA,99999,11550 E Sepulveda Ave #69,Eagle Rock,CA,99999,False,N,700,2014-05-30T00:00:00,,2011-08-08T00:00:00,,,0,9,178,L,11,12,,Steven.Ahmad@example.com,,27.0,0,,0,12,12,Twelfth Grade
99400036,0,00,994708,,994,36,9940000036,Ainsworth,Lydia,L,F,12,12,Twelfth Grade,2004-12-02T00:00:00,M/M A Ainsworth,7775552699,,449 N Danville Ave,Eagle Rock,CA,99999,449 N Danville Ave,Eagle Rock,CA,99999,False,N,700,2018-05-12T00:00:00,,2010-12-02T00:00:00,,,0,9,464,E,00,13,,Lydia.Ainsworth@example.com,,15.0,0,,0,13,13,Reserved for Graduating Seniors
99400037,0,00,994716,,994,37,9940000037,Akanno,Claudia,Chioma,F,11,11,Eleventh Grade,2006-07-04T00:00:00,M/M A Akanno,7775555567,,22250 E Shatara St,Eagle Rock,CA,99999,22250 E Shatara St,Eagle Rock,CA,99999,False,N,600,2014-05-30T00:00:00,,2011-08-08T00:00:00,,,0,9,919,E,00,12,,Claudia.Akanno@example.com,,39.0,0,,0,12,12,Twelfth Grade
99400038,0,00,994708,,994,38,9940000038,Akers,Lina,N,F,12,12,Twelfth Grade,2004-10-10T00:00:00,M/M A Akers,7775557322,,2237 E Rancho Questa Dr,Eagle Rock,CA,99999,2237 E Rancho Questa Dr,Eagle Rock,CA,99999,False,N,700,2016-09-01T00:00:00,,2010-10-10T00:00:00,,,0,9,1186,E,00,12,,Lina.Akers@example.com,,10.0,0,,0,13,13,Reserved for Graduating Seniors
99400039,0,00,0,,994,39,9940000039,Akins,Isaiah,,M,8,8,Eighth Grade,2010-05-02T00:00:00,M/M A Akins,9998325548,,663 N Darfield Ave,Eagle Rock,CA,99999,663 N Darfield Ave,Eagle Rock,CA,99999,False,N,600,2023-08-03T00:00:00,,2021-08-28T00:00:00,,,0,9,0,E,00,12,,Isaiah.Akins@example.com,,0.0,0,,999,9,9,Ninth Grade
99400040,0,00,994708,,994,40,9940000040,Alarid,Allan,E,M,12,12,Twelfth Grade,2005-07-29T00:00:00,M/M A Alarid,7775553406,,"11539 E Charleston Blvd., #111",Eagle Rock,CA,99999,"11539 E Charleston Blvd., #111",Eagle Rock,CA,99999,False,Y,100,2019-08-16T00:00:00,,2010-07-29T00:00:00,,,0,9,583,E,00,11,,Allan.Alarid@example.com,,71.0,0,,0,13,13,Reserved for Graduating Seniors
99400041,0,00,0,,994,41,9940000041,Albert,Alison,A,F,8,8,Eighth Grade,2008-11-07T00:00:00,M/M A Albert,9996334125,,10922 Pembroke Dr,Eagle Rock,CA,99999,10922 Pembroke Dr,Eagle Rock,CA,99999,False,N,700,2023-08-03T00:00:00,2023-08-03T00:00:00,2008-11-07T00:00:00,,,0,9,0,E,,,,Alison.Albert@example.com,,0.0,0,,999,9,9,Ninth Grade
99400042,0,00,994723,,994,42,9940000042,Alcala,Catherine,M,F,10,10,Tenth Grade,2007-08-27T00:00:00,M/M A Alcala,7775558330,,1147 E Walton Dr. #A,Eagle Rock,CA,99999,1147 E Walton Dr. #A,Eagle Rock,CA,99999,False,Y,,2015-05-12T00:00:00,,2012-08-09T00:00:00,,,0,9,1319,E,00,15,,Catherine.Alcala@example.com,,7.0,0,,0,11,11,Eleventh Grade
99400043,0,00,994623,,994,43,9940000043,Alegria,Alice,Linda,F,9,9,Ninth Grade,2007-11-10T00:00:00,M/M A Alegria,7775550953,,1100 S Lancaster Ave,Eagle Rock,CA,99999,1100 S Lancaster Ave,Eagle Rock,CA,99999,False,Y,,2011-09-09T00:00:00,,2013-08-15T00:00:00,,,0,9,176,E,00,13,,Alice.Alegria@example.com,,17.0,0,,0,10,10,Tenth Grade
99400044,0,01,0,,994,44,9940000044,Alegria,Reece,Jose,M,8,8,Eighth Grade,2010-04-05T00:00:00,M/M A Alegria,7775551166,,4454 N Glenfinnan Ave,Eagle Rock,CA,99999,4454 N Glenfinnan Ave,Eagle Rock,CA,99999,False,Y,100,2023-08-03T00:00:00,,2019-09-04T00:00:00,,,0,9,0,R,01,15,,Reece.Alegria@example.com,,0.0,0,,999,9,9,Ninth Grade
99400045,0,00,994623,,994,45,9940000045,Alejandro,Arturo,,M,9,9,Ninth Grade,2008-09-20T00:00:00,M/M A Alejandro,7775550916,,1118 N Alvarado Ave #P,Eagle Rock,CA,99999,1118 N Alvarado Ave #P,Eagle Rock,CA,99999,False,Y,,2016-09-01T00:00:00,,2013-08-15T00:00:00,,,0,9,170,E,00,12,,Arturo.Alejandro@example.com,,28.0,0,,0,10,10,Tenth Grade
99400046,0,00,994716,,994,46,9940000046,Alexander,Brandi,,F,11,11,Eleventh Grade,2006-05-28T00:00:00,M/M A Alexander,7775555452,,335 W  1st St.,Eagle Rock,CA,99999,335 W  1st St.,Eagle Rock,CA,99999,False,N,700,2014-05-30T00:00:00,,2011-08-08T00:00:00,,,0,9,908,E,00,12,,Brandi.Alexander@example.com,,14.0,0,,0,12,12,Twelfth Grade
99400047,0,00,0,,994,47,9940000047,Alexander,Christina,C,F,8,8,Eighth Grade,2009-08-03T00:00:00,M/M C Alexander,9998384008,,140 N Yorba #37,Eagle Rock,CA,99999,140 N Yorba #37,Eagle Rock,CA,99999,False,N,700,2023-08-03T00:00:00,,,,,0,9,0,E,,,,Christina.Alexander@example.com,,0.0,0,,999,9,9,Ninth Grade
99400048,0,00,994723,,994,48,9940000048,Alexander,Mario,J,M,10,10,Tenth Grade,2007-02-13T00:00:00,M/M A Alexander,7775551271,,5521 Farglen,Eagle Rock,CA,99999,5521 Farglen,Eagle Rock,CA,99999,False,Y,,2019-08-15T00:00:00,,2012-08-16T00:00:00,,,0,9,243,E,,12,,Mario.Alexander@example.com,,4.0,0,,0,11,11,Eleventh Grade
99400049,0,00,0,,994,49,9940000049,Alfaro,Kathryn,K,F,8,8,Eighth Grade,2008-12-04T00:00:00,M/M K Alfaro,9999530887,,1104 S Mantle #C,Eagle Rock,CA,99999,1104 S Mantle #C,Eagle Rock,CA,99999,False,Y,,2023-08-03T00:00:00,,,,L6,0,9,0,E,,,,Kathryn.Alfaro@example.com,,0.0,0,,999,9,9,Ninth Grade
99400050,0,11,994716,,994,50,9940000050,Ali,Mario,Z,M,11,11,Eleventh Grade,2005-11-15T00:00:00,M/M A Ali,7775559024,,22042 E Clearpoint Hwy#56,Eagle Rock,CA,99999,22042 E Clearpoint Hwy#56,Eagle Rock,CA,99999,False,N,299,2018-09-07T00:00:00,,2011-09-07T00:00:00,,,0,9,1409,E,11,10,,Mario.Ali@example.com,,17.0,0,,0,12,12,Twelfth Grade
99400051,0,00,994723,,994,51,9940000051,Allen,Neal,,M,10,10,Tenth Grade,2007-10-09T00:00:00,M/M A Allen,7775557529,,1161 E Grovecenter,Eagle Rock,CA,99999,1161 E Grovecenter,Eagle Rock,CA,99999,False,N,700,2015-09-04T00:00:00,,2012-08-09T00:00:00,,,0,9,1211,E,00,11,,Neal.Allen@example.com,,20.0,0,,0,11,11,Eleventh Grade
99400052,0,00,994716,,994,52,9940000052,Almada,Crystal,C,F,11,11,Eleventh Grade,2006-02-01T00:00:00,M/M A Almada,7775550156,,1149 N Stella Ave,Eagle Rock,CA,99999,1149 N Stella Ave,Eagle Rock,CA,99999,False,Y,,2014-05-30T00:00:00,,2011-08-08T00:00:00,,,0,9,33,E,00,12,,Crystal.Almada@example.com,,10.0,0,,0,12,12,Twelfth Grade
99400053,0,00,994623,,994,53,9940000053,Almada,Jesus Jesse,R,M,9,9,Ninth Grade,2007-07-28T00:00:00,M/M A Almada,7775550156,,1149 N Stella Ave,Eagle Rock,CA,99999,1149 N Stella Ave,Eagle Rock,CA,99999,False,Y,,2009-09-03T00:00:00,,2013-08-15T00:00:00,,,0,9,33,E,00,12,,Jesus Jesse.Almada@example.com,,34.0,0,,0,10,10,Tenth Grade
99400054,0,00,0,,994,54,9940000054,Almodovar,Armando,Timothy,M,8,8,Eighth Grade,2010-10-05T00:00:00,M/M A Almodovar,7775551167,,550 N Jalapa Dr,Eagle Rock,CA,99999,550 N Jalapa Dr,Eagle Rock,CA,99999,False,Y,100,2023-08-03T00:00:00,,2021-01-26T00:00:00,,,0,9,0,E,00,13,,Armando.Almodovar@example.com,,0.0,0,,999,9,9,Ninth Grade
99400055,0,00,994723,,994,55,9940000055,Alonzo,Clarisa,Berdine,F,10,10,Tenth Grade,2007-05-04T00:00:00,M/M A Alonzo,7775558121,,22010 Coulter St,Eagle Rock,CA,99999,22010 Coulter St,Eagle Rock,CA,99999,False,N,700,2015-05-12T00:00:00,,2012-08-09T00:00:00,,,0,9,1290,E,00,12,,Clarisa.Alonzo@example.com,,5.0,0,,0,11,11,Eleventh Grade
99400056,0,11,994723,,994,56,9940000056,Shakarchi,Tahj,,M,11,11,Eleventh Grade,2006-02-21T00:00:00,M/M A AlShakarchi,9998361039,,22042 E Arrow Hwy Apt 180,Eagle Rock,CA,99999,22042 E Arrow Hwy Apt 180,Eagle Rock,CA,99999,False,N,700,2019-11-24T00:00:00,2023-01-23T00:00:00,2011-02-21T00:00:00,,,0,9,1649,L,11,11,,Tahj.Shakarchi@example.com,,0.0,0,,0,12,12,Twelfth Grade
99400057,0,00,994716,,994,57,9940000057,Alva,Lynette,M,F,11,11,Eleventh Grade,2006-01-25T00:00:00,M/M A Alva,7775554316,,227 N Sunset Ave #65,Eagle Rock,CA,99999,227 N Sunset Ave #65,Eagle Rock,CA,99999,False,Y,,2015-09-10T00:00:00,,2011-08-08T00:00:00,,,1,9,722,E,00,13,,Lynette.Alva@example.com,,17.0,0,,0,12,12,Twelfth Grade
99400058,0,00,994623,,994,58,9940000058,Alvarado,Jocelyn,,F,9,9,Ninth Grade,2008-06-29T00:00:00,M/M A Alvarado,7775559725,,1136 Carsonwich Rd,Eagle Rock,CA,99999,1136 Carsonwich Rd,Eagle Rock,CA,99999,False,Y,,2015-01-16T00:00:00,,2013-08-15T00:00:00,,,1,9,1529,E,00,15,,Jocelyn.Alvarado@example.com,,0.0,0,,0,10,10,Tenth Grade
99400059,0,00,0,,994,59,9940000059,Alvarado,Nicholas,Steven,M,8,8,Eighth Grade,2010-04-03T00:00:00,M/M A Alvarado,7775551166,,22651 E Stephanie Dr,Eagle Rock,CA,99999,22651 E Stephanie Dr,Eagle Rock,CA,99999,False,Y,100,2023-08-03T00:00:00,,2019-09-04T00:00:00,,,0,9,0,E,00,12,,Nicholas.Alvarado@example.com,,0.0,0,,999,9,9,Ninth Grade
99400060,0,01,994723,,994,60,9940000060,Alvarado,William,,M,10,10,Tenth Grade,2007-07-30T00:00:00,M/M A Alvarado,7775554812,,441 N Roberts Ave,Eagle Rock,CA,99999,441 N Roberts Ave,Eagle Rock,CA,99999,False,Y,,2016-09-02T00:00:00,,2012-09-01T00:00:00,,,0,9,803,L,01,13,,William.Alvarado@example.com,,22.0,0,,0,11,11,Eleventh Grade
